ACCOUNTING AND INFORMATION SYSTEMS,154792.31,ADMIN,,,
MANAGEMENT,155772.26,ADMIN,,,
OFC OF PLANNING & BDGETS,156884.04,ADMIN,,,
"RESIDENTIAL & HOSPITALITY SERVICES, DIV",157720.16,ADMIN,,,
INTERNAL AUDIT,158199.96,ADMIN,,,
CONTRACT AND GRANT ADMINISTRATION,158754,ADMIN,,,
INVESTMENT & FINANCIAL MANAGEMENT,159297.72,ADMIN,,,
HUMAN RESOURCES ASST VICE PRESIDENT,160490.5,ADMIN,,,
FACULTY & ORG DEVELOPMENT - AHR,160538.52,ADMIN,,,
OFC OF DIVERSITY & PLURALISM,162005,ADMIN,,,
BUSINESS OPERATIONS,162512.13,ADMIN,,,
HOLLAND INITIATIVE,168300,ADMIN,,,
FINANCIAL AID,169950,ADMIN,,,
PHYSICAL PLANT ADMINISTRATION,172967.28,ADMIN,,,
ASC VICE PRES ALUMNI ASSOCIATION,174194.64,ADMIN,,,
DEPARTMENT OF POLICE AND PUBLIC SAFETY,175077.24,ADMIN,,,
ASC PROV & ASC VP ACAD HUMAN RESOURCES,175094.44,ADMIN,,,
CONTROLLER,175100,ADMIN,,,
RESEARCH & GRADUATE STUDIES VICE PRES,179734.95,ADMIN,,,
VICE PRES FOR GOVERNMENTAL AFFAIRS,180450,ADMIN,,,
VICE PRES FOR GOVERNMENTAL AFFAIRS,180450,ADMIN,,,
ASC PROV AST VP ACADEMIC HUMAN RESOURCES,182372.4,ADMIN,,,
ASC VICE PRES FOR UNIVERSITY DEVELOPMENT,183280.02,ADMIN,,,
ENTERPRISE BUSINESS SYSTEMS PROJECTS,184370.04,ADMIN,,,
OST.MED. RESEARCH & ADV STUDY PROGRAMS,184482.12,ADMIN,,,
PROVOSTS OFFICE,186783.14,ADMIN,,,
UNIVERSITY ADVANCEMENT,188789.8,ADMIN,,,
"OFC FOR INCLUSION, INTERCULT INITIATIVES",189150,ADMIN,,,
COMMUNICATIONS AND BRAND STRATEGY,191000,ADMIN,,,
VP COMMUNICATIONS AND BRAND STRATEGY,191000,ADMIN,,,
VICE PROV LIBRARIES AND IT SERVICES,197803.19,ADMIN,,,
"RESIDENTIAL & HOSPITALITY SERVICES, DIV",198843.84,ADMIN,,,
FINANCE & OPERATIONS VP & TREASURER,202577.97,ADMIN,,143021.46,ADMIN
ASC PROVOST FOR ACADEMIC SERVICES,220190.28,ADMIN,,98577.62,STEM
PERFORMING ARTS FACILITIES & PROGRAMS,248205.24,ADMIN,,,NON-STEM
VICE PRESIDENT UNIVERSITY ADVANCEMENT,311000.04,ADMIN,,,
PRESIDENT,376599.98,ADMIN,,,
PRESIDENTS OFFICE OPERATIONS,376599.98,ADMIN,,,
"MATHEMATICS,SCIENCE,TECH AT MSU-HON COL",26627.96,STEM,,,
CTR FOR MICROBIAL ECOLOGY,31193.52,STEM,,,
CNS - RESEARCH SERVICES,37530,STEM,,,
RESEARCH TECHNOL SUPPORT FACILITY - MAES,42630,STEM,,,
GREAT LAKES BIOENERGY RESEARCH CTR,44904.39,STEM,,,
GLOBAL CHANGE & EARTH OBS,50082.33,STEM,,,
EXTENSION HEALTH AND NUTRITION,51590.21,STEM,,,
BIO/COMPUTATIONAL EVOLUTION IN ACTION,53446.1,STEM,,,
ANR TECHNOLOGY SERVICES,55767.24,STEM,,,
AGRICULTURAL TECH. INST.,58536.66,STEM,,,
EXTENSION GREENING MICHIGAN,59081.79,STEM,,,
VETERINARY TECHNOLOGY,61668.13,STEM,,,
RSCH ON MATH & SCIENCE ED,62911.98,STEM,,,
EXT AGRICULTURE & AGRIBUSINESS MAES,63263.73,STEM,,,
PLANT RESEARCH LAB NAT SCI,64822.32,STEM,,,
INSTITUTE FOR CYBER-ENABLED RESEARCH,64918.5,STEM,,,
WATER RESEARCH INSTITUTE,65000.04,STEM,,,
LAND POLICY INSTITUTE,69140.87,STEM,,,
KELLOGG BIOLOGICAL STATION,72930.39,STEM,,,
BIOMEDICAL LABORATORY DIAGNOSTICS PROGR,74568.21,STEM,,,
ENTOMOLOGY,76564.57,STEM,,,
PLANT BIOLOGY,76749.3,STEM,,,
BIOCHEMISTRY&MOLECULAR BIO,76850.31,STEM,,,
PLANT PATHOLOGY,77393.57,STEM,,,
CREATE FOR STEM,77584.71,STEM,,,
INTNL AGRICULT INSTITUTE,77729.15,STEM,,,
ZOOLOGY NATURAL SCIENCE,77751.26,STEM,,,
NURSING,77803.55,STEM,,,
BIOLOGICAL SCIENCE PROGRAM,78097.72,STEM,,,
FISHERIES & WILDLIFE,80092.16,STEM,,,
GEOLOGICAL SCIENCES,80848.17,STEM,,,
MICROBIOLOGY&MOLEC GENETICS,83236.17,STEM,,,
COLLEGE OF AGRICULTURE & NAT RESOURCES,84092.52,STEM,,,
MSU AGBIORESEARCH,84975.89,STEM,,,
PHYSIOLOGY/HUMAN PATHLGY,85151.18,STEM,,,
"TELECOM,INFORMATION STUDIES & MEDIA",85306.78,STEM,,,
ANTHROPOLOGY,85471.55,STEM,,,
SMALL ANIMAL CLINICAL SCIENCES,86851.18,STEM,,,
GEOGRAPHY,87937.39,STEM,,,
DIV OF ENGR RESEARCH,88086.87,STEM,,,
KINESIOLOGY,88317.78,STEM,,,
NEUROLOGY & OPHTHALMOLOGY,88356.09,STEM,,,
MATHEMATICS,89374.1,STEM,,,
BIOSYSTEMS & AG ENGINEER,89443.54,STEM,,,
FOOD SCI. & HUMAN NUTR.,89699.5,STEM,,,
NAT'L SUPERCONDUCTING CYCLOTRON LAB,89765.34,STEM,,,
FORESTRY,89913.77,STEM,,,
ANIMAL SCIENCE DEPARTMENT,90283.63,STEM,,,
PATHOBIOLOGY & DIAGNOSTIC INVES,90401.61,STEM,,,
COLLEGE OF NATURAL SCIENCE,90876.7,STEM,,,
CTR FOR STATISTICAL TRAINING CONSULTING,91000.02,STEM,,,
COMMUNICATIVE SCIENCES & DISORD,91858.9,STEM,,,
COLLEGE OF VETERINARY MEDICINE,92202.65,STEM,,,
CANR PUBLIC SERVICE ACTIV.,93868.75,STEM,,,
SURGERY,94273.61,STEM,,,
HORTICULTURE,94442.89,STEM,,,
USABILITY/ACCESSIBILITY RSCH CONSULTING,94622.68,STEM,,,
AGRICULTURE & NAT RESOURCES DEAN,95138.55,STEM,,,
"COMMY, AG REC & RES STD",95351.57,STEM,,,
CHEMISTRY,96054.5,STEM,,,
COMP MATL & STRUCTURES,96306,STEM,,,
INTEGRATIVE TOXICOLOGY,97181.34,STEM,,,
PHYSICS-ASTRONOMY,97432.48,STEM,,,
INST FOR RES TCH & LRN ACROSS LIFE SPAN,97642.08,STEM,,,
CIVIL & ENV ENGINEERING,97752.62,STEM,,,
PHYSIOLOGY,98144.94,STEM,,,
CROP AND SOIL SCIENCES,98687.27,STEM,,,
RADIOLOGY/SPORTS MED,99769.95,STEM,,,
COMPUTER SCIENCE AND ENGINEERING,100292.32,STEM,,,
PEDIATRICS,100456.62,STEM,,,
ENGINEERING DEAN,100797.46,STEM,,,
STATISTICS & PROBABILITY,100887.39,STEM,,,
PHARMACOLOGY TOXICOLOGY,101833.37,STEM,,,
MSU HEALTH TEAM,102095.51,STEM,,,
NAT'L SUPERCONDUCTING CYCLOTRON LAB,102220.67,STEM,,,
DEAN OF NATURAL SCIENCE,102327.68,STEM,,,
CANCER CENTER,102472.98,STEM,,,
MECHANICAL ENGINEERING,102679.64,STEM,,,
NEUROSCIENCE PROGRAM,102820.64,STEM,,,
MEDICINE,103230.26,STEM,,,
COLLEGE OF ENGINEERING,103446.74,STEM,,,
CHEM ENGINEERING & MAT SCI,103708.1,STEM,,,
FOOD INDUSTRY INSTITUTE,104055.03,STEM,,,
"OBSTETRICS, GYN & REPRODUCTIVE BIO",105496.97,STEM,,,
EPIDEMIOLOGY AND BIOSTATISTICS,105859.51,STEM,,,
"AG, FOOD, & RESOURCE ECON",106272.32,STEM,,,
OFFICE OF CLINICAL RESEARCH-CHM,106398.27,STEM,,,
HUMAN RESOURCES & LABOR RELATIONS,106425.07,STEM,,,
FAMILY AND COMMUNITY MEDICINE,106498.09,STEM,,,
DIAG CTR POP & ANML HLTH,106539.89,STEM,,,
LARGE ANML CLINICAL SCI,107209.12,STEM,,,
CHM WEST MICHIGAN,109930.11,STEM,,,
PHYS MED & REHABILITATION,111108.21,STEM,,,
RADIOLOGY,111297.86,STEM,,,
CTR FOR ETH & HUM IN THE LIFE SCI,112292.01,STEM,,,
ELECTRICAL ENGINEERING,113879.98,STEM,,,
VETERINARY MEDICINE DEAN,114114.93,STEM,,,
COLLEGE OF HUMAN MEDICINE,114912.62,STEM,,,
"ADVANCED MICROSCOPY, CTR FOR",114999.77,STEM,,,
PED & HUMAN DEVELOPMENT,115898.88,STEM,,,
OSTEO SURGICAL SPECIALITIES,116094.24,STEM,,,
PROGRAM IN MATHEMATICS EDUCATION,116710.09,STEM,,,
ASSOCIATE VICE PRESIDENT FOR RESEARCH,116880.75,STEM,,,
FACILITY FOR RARE ISOTOPE BEAMS,118508.41,STEM,,,
HUMAN MEDICINE DEAN,118665.06,STEM,,,
COLLEGE OF OSTEOPATHIC MEDICINE,118704.65,STEM,,,
OSTEOPATHIC MANIPULATIVE MEDICINE,121224.48,STEM,,,
"FAMILY MEDICINE, DEPT OF",122348.34,STEM,,,
OSTEOPATHIC MEDICAL SPECIALTIES,123124.36,STEM,,,
MEDICAL EDUCATION RESEARCH & DEVELOPMENT,124771.25,STEM,,,
OSTEOPATHIC MEDICINE DEAN,132714.31,STEM,,,
TRANSLATION SCIENCE & MOLECULAR MED,135157.56,STEM,,,
UNIVERSITY FARMS,143266.92,STEM,,,
CANR ADMIN/DEAN AG & NR,149343.93,STEM,,,
ENVIRONMENTAL HEALTH & SAFETY,163200,STEM,,,
IT SERVICES ADMINISTRATION AND PLANNING,164167.24,STEM,,,
SE MI DETROIT MEDICAL CENTER,186558.38,STEM,,,
MSU TECHNOLOGIES,207098.24,STEM,,,
MICHIGAN AGRICULTURAL EXPERIMENT STATION,209233.08,STEM,,,
MSU HEALTH TEAM,231288.18,STEM,,,
CANR RESEARCH ACTIVITIES,249023.24,STEM,,,
COMMY MUSIC SCHOOL,36108.23,,,,
ASIAN STUDIES CENTER,43390.67,,,,
ENGLISH LANGUAGE CENTER,44192.13,,,,
CTR FOR INTEGRAT STD - ARTS & HUMANITIES,46309.04,,,,
"PROG IN WOMEN,GENDER& SOC JUST",47577.26,,,,
COUNSELING CENTER,49202.56,,,,
INTRAMURAL SPORTS & RECREATIVE SERVICES,51585.28,,,,
EXTENSION CHILDREN AND YOUTH,52025.73,,,,
THEATRE,53894.83,,,,
RESOURCE CTR FOR PERSONS W/DISABILITIES,53946.41,,,,
OFF CAMPUS CREDIT PROGRAM,54364.61,,,,
UNDERGRADUATE UNIVERSITY DIVISION,54568.85,,,,
MATRIX,56043,,,,
"WRITING, RHETORIC & AMERICAN CULTURE",56447.88,,,,
INTERNATIONAL BUSINESS CENTER,56496,,,,
A&L INTERDEPARTMENTAL PROGRAMS,57257.45,,,,
ADMIN SUPPORT-MLK INITIATIVE,57506.7,,,,
UNIVERSITY ARCHIVES & HISTORIC COLLECT,58434.77,,,,
AFRICAN STUDIES CENTER,58627.64,,,,
CENTER FOR GENDER IN GLOBAL CONTEXT,59430.96,,,,
DREW LABORATORY,59583,,,,
LATIN AMERICAN STUDIES CENTER,59638.38,,,,
NATIVE AMERICAN INSTITUTE,59884.25,,,,
TEACHING ASSISTANT PROGRAMS,60000,,,,
BAILEY SCHOLARS,61504.79,,,,
ASC PROVOST FOR UNDERGRADUATE EDUCATION,61749,,,,
ARTS AND LETTERS WRITING CENTER,62054.76,,,,
TEACHER EDUCATION,62236.8,,,,
"COUNSELING, ED PSY, SPEC ED",62238.65,,,,
STUDENT-ATHLETE SUPPORT SERVICES,62547.86,,,,
COLLEGE OF ARTS AND LETTERS,63229.53,,,,
ART & ART HISTORY,63650.58,,,,
VISITING INTNL PROFESSIONAL PRGM,64152.11,,,,
ROMANCE AND CLASSICAL STUDIES,64726.44,,,,
"LINGUISTICS,GERM,SLAVIC,ASIAN&AF LG",64886.55,,,,
COMMUNICATION ARTS AND SCIENCES DEAN,65023.33,,,,
LYMAN BRIGGS COLLEGE,65713.79,,,,
LYMAN BRIGGS DEAN,65713.79,,,,
ANR COMMUNICATIONS,66657.96,,,,
ENVIRONMENTAL SCIENCE AND POLICY PROGRAM,67411.31,,,,
NATURAL FEATURES INVENTORY,67762.49,,,,
COMMUNITY EVALUATION & RSCH COLLABRTVE,68571.27,,,,
HONORS COLLEGE,68886.54,,,,
CTR FOR INTEGRATIVE STD - SOCIAL SCIENCE,68954.12,,,,
UPWARD BOUND,68986.84,,,,
CTR FOR ADV STUDY INT'L DEVEL,69459.44,,,,
COLLEGE OF EDUCATION,69498,,,,
CTR FOR INTEGRATIVE STD - GENERAL SCI,69522.28,,,,
WOMEN'S RESOURCE CENTER,70261,,,,
VICE PRES FOR STUDENT AFFAIRS & SERVICES,70859.43,,,,
RELIGIOUS STUDIES,70891.44,,,,
UOE COMMUNICATION & INFORMATION TECHNOL,71550,,,,
SOCIAL WORK,74522.77,,,,
"SCHL OF PLANNING,DSGN&CNST",74908.88,,,,
"ARTS & HUMANITIES, RESIDENTIAL COLL IN",77814.64,,,,
PHILOSOPHY,78399.85,,,,
"ADVERTISING, PUB REL & RETAILING",79385.04,,,,
COLLEGE OF MUSIC,79723,,,,
MSU GLOBAL,79741.15,,,,
MSU GLOBAL,79741.15,,,,
ENGLISH,81193.7,,,,
MUSEUM,81384.16,,,,
JOURNALISM,82136.78,,,,
MUSIC,82710.32,,,,
MICHIGAN STATE UNIVERSITY EXTENSION,82754.39,,,,
HUMAN DEVELOPMENT & FAMILY STD,82870.55,,,,
COLLEGE OF COMMUNICATION ARTS & SCIENCES,83268.55,,,,
JAMES MADISON COLLEGE,83765.32,,,,
HISTORY,84791.99,,,,
MBA PROGRAM,88498.54,,,,
CRIMINAL JUSTICE,89099.92,,,,
PACKAGING,89291.1,,,,
GLOBAL URBAN STUDIES,89385.52,,,,
NATL COLLAB FOR STUDY OF UNIV ENGAGEMENT,89562,,,,
COLLEGE OF SOCIAL SCIENCE,91137.09,,,,
SW MI RESEARCH & EXT CTR,91966.5,,,,
COMMUNICATION,92970.24,,,,
SOCIOLOGY,96599.75,,,,
THE SCHOOL OF HOSPITALITY BUSINESS,99069.64,,,,
PSYCHOLOGY,103947.17,,,,
POLITICAL SCIENCE,107780.6,,,,
JEWISH STUDIES PROGRAM,108119.48,,,,
PSYCHIATRY,128400.35,,,,
INTERNATIONAL STUDIES & PROGRAMS,137770.36,,,,
ELI BROAD COLLEGE OF BUSINESS,139094.24,,,,
ECONOMICS,141590.28,,,,
FINANCE,145342.81,,,,
DEPT OF SUPPLY CHAIN MGT,151523.6,,,,
